variant_id,family,entry_code,entry_description,trigger_code,trigger_description,adjustment_code,adjustment_description,exit_code,exit_description,wing_width_points,max_adjustments,expiry_regime,unit,execution_model,source_fidelity,pnl_allowed
ID01,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID02,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID03,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID04,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID05,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID06,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,ZONE_60,Adverse move reaches 60% of 200-point wing distance,SHIFT_THREATENED_LONG_1_STRIKE,Move threatened long hedge one strike inward,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID07,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID08,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_1_STRIKE,Move short straddle centre one strike in adverse direction,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID09,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,EXPIRY_15,Close 15:00 on Tuesday expiry,200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
ID10,NIFTY_IRON_DOME,WED_0930,Wednesday 09:30,PNL_60,Open loss reaches 60% of static maximum loss,ROLL_CENTER_2_STRIKES,Move short straddle centre two strikes,RECOVER_FLAT,"Close at post-adjustment mark-to-market >= 0, else expiry",200,2,CURRENT_NIFTY_WEEKLY_TUESDAY,1_NIFTY_LOT,DEFERRED_TO_PHASE30_PREREGISTERED,PROVISIONAL_INTERPRETATION,NO
